YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,6,1,2/6/2023 0:00,WN,19393,N8549Z,3112,14831,1483106,32457,SJC,"San Jose, CA",CA,California,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,900,856,-4,0,0,0900-0959,14,910,1017,8,1030,1025,-5,0,0,0,90,89,67,1,386
2023,2,6,1,2/6/2023 0:00,B6,20409,N516JB,1303,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1837,1830,-7,0,0,1800-1859,15,1845,2218,8,2250,2226,-24,0,0,0,373,356,333,1,2300
2023,2,6,1,2/6/2023 0:00,OO,20304,N748SK,3042,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,11982,1198202,31982,GRK,"Killeen, TX",TX,Texas,2252,2245,-7,0,0,2200-2259,25,2310,2340,4,2350,2344,-6,0,0,0,58,59,30,1,134
2023,2,6,1,2/6/2023 0:00,UA,19977,N33284,1630,14747,1474703,30559,SEA,"Seattle, WA",WA,Washington,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1115,1110,-5,0,0,1100-1159,17,1127,1436,7,1500,1443,-17,0,0,0,165,153,129,1,1024
2023,2,1,3,2/1/2023 0:00,DL,19790,N363NW,1157,12953,1295304,31703,LGA,"New York, NY",NY,New York,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1045,1050,5,5,0,1000-1059,46,1136,1322,3,1308,1325,17,17,1,0,203,215,166,1,1020
2023,2,3,5,2/3/2023 0:00,9E,20363,N131EV,4934,11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,North Carolina,12953,1295304,31703,LGA,"New York, NY",NY,New York,1853,1956,63,63,1,1800-1859,72,2108,2237,7,2030,2244,134,134,1,0,97,168,89,1,461
2023,2,2,4,2/2/2023 0:00,WN,19393,N8308K,2736,15304,1530402,33195,TPA,"Tampa, FL",FL,Florida,10423,1042302,30423,AUS,"Austin, TX",TX,Texas,730,728,-2,0,0,0700-0759,9,737,852,15,920,907,-13,0,0,0,170,159,135,1,928
2023,2,5,7,2/5/2023 0:00,G4,20368,276NV,914,14524,1452401,34524,RIC,"Richmond, VA",VA,Virginia,14082,1408203,34082,PGD,"Punta Gorda, FL",FL,Florida,1152,1139,-13,0,0,1100-1159,13,1152,1357,6,1416,1403,-13,0,0,0,144,144,125,1,779
2023,2,5,7,2/5/2023 0:00,UA,19977,N13018,219,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,935,935,0,0,0,0900-0959,24,959,1426,7,1457,1433,-24,0,0,0,562,538,507,1,4243
2023,2,4,6,2/4/2023 0:00,AA,19805,N818NN,2719,14524,1452401,34524,RIC,"Richmond, VA",VA,Virginia,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1708,1711,3,3,0,1700-1759,17,1728,1926,19,1944,1945,1,1,0,0,216,214,178,1,1158
2023,2,3,5,2/3/2023 0:00,AA,19805,N822AW,1609,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,2017,2004,-13,0,0,2000-2059,13,2017,2105,5,2125,2110,-15,0,0,0,68,66,48,1,227
