YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,12,1,6/12/2023 0:00,WN,N483WN,10140,1014005,30140,ABQ,"Albuquerque, NM",NM,New Mexico,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,640,640,0,0,0,10,650,908,10,920,918,-2,0,0,0
2023,6,29,4,6/29/2023 0:00,9E,N299PQ,12953,1295304,31703,LGA,"New York, NY",NY,New York,10868,1086803,30868,CAE,"Columbia, SC",SC,South Carolina,2030,2026,-4,0,0,30,2056,2223,5,2240,2228,-12,0,0,0
2023,6,27,2,6/27/2023 0:00,WN,N7875A,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,12954,1295407,32575,LGB,"Long Beach, CA",CA,California,730,727,-3,0,0,12,739,830,3,835,833,-2,0,0,0
2023,6,19,1,6/19/2023 0:00,WN,N7882B,11278,1127805,30852,DCA,"Washington, DC",VA,Virginia,13342,1334207,33342,MKE,"Milwaukee, WI",WI,Wisconsin,1105,1059,-6,0,0,11,1110,1140,2,1205,1142,-23,0,0,0
2023,6,7,3,6/7/2023 0:00,WN,N426WN,10821,1082106,30852,BWI,"Baltimore, MD",MD,Maryland,13577,1357702,31135,MYR,"Myrtle Beach, SC",SC,South Carolina,2030,2051,21,21,1,8,2059,2204,3,2150,2207,17,17,1,0
2023,6,29,4,6/29/2023 0:00,AA,N976AN,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,13303,1330303,32467,MIA,"Miami, FL",FL,Florida,545,541,-4,0,0,14,555,836,16,913,852,-21,0,0,0
2023,6,4,7,6/4/2023 0:00,UA,N76288,12953,1295304,31703,LGA,"New York, NY",NY,New York,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1215,1209,-6,0,0,20,1229,1356,11,1429,1407,-22,0,0,0
2023,6,26,1,6/26/2023 0:00,B6,N958JB,12478,1247805,31703,JFK,"New York, NY",NY,New York,13891,1389101,32575,ONT,"Ontario, CA",CA,California,1939,1947,8,8,0,96,2123,314,5,2247,319,,,,0
2023,6,3,6,6/3/2023 0:00,B6,N508JL,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,14771,1477104,32457,SFO,"San Francisco, CA",CA,California,709,700,-9,0,0,27,727,818,8,830,826,-4,0,0,0
2023,6,28,3,6/28/2023 0:00,MQ,N261NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,North Dakota,1844,1845,1,1,0,11,1856,2109,3,2122,2112,-10,0,0,0
